File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width,Sort
f1_l-d_kp_10_269.txt,Knapsack,9,Exact,2147483646,false,max,253.000000,0.000266,na,0.012331,352,614,143,true
f2_l-d_kp_20_878.txt,Knapsack,19,Exact,2147483646,false,max,990.000000,0.004981,na,0.009563,6732,13338,846,true
f1_l-d_kp_10_269.txt,Knapsack,9,Exact,2147483646,true,max,253.000000,0.000281,0.000117,0.015450,52,97,12,true
f3_l-d_kp_4_20.txt,Knapsack,3,Exact,2147483646,true,max,33.000000,0.000031,0.000010,0.008571,4,6,1,true
f2_l-d_kp_20_878.txt,Knapsack,19,Exact,2147483646,true,max,990.000000,0.004625,0.006325,0.003738,314,616,36,true
f3_l-d_kp_4_20.txt,Knapsack,3,Exact,2147483646,false,max,33.000000,0.000034,na,0.002212,8,14,4,true
f4_l-d_kp_4_11.txt,Knapsack,3,Exact,2147483646,false,max,22.000000,0.000019,na,0.009597,8,13,4,true
f6_l-d_kp_10_60.txt,Knapsack,9,Exact,2147483646,false,max,52.000000,0.000134,na,0.005826,161,302,49,true
f4_l-d_kp_4_11.txt,Knapsack,3,Exact,2147483646,true,max,22.000000,0.000026,0.000013,0.007051,6,9,2,true
f6_l-d_kp_10_60.txt,Knapsack,9,Exact,2147483646,true,max,52.000000,0.000146,0.000075,0.003138,47,74,9,true
f7_l-d_kp_7_50.txt,Knapsack,6,Exact,2147483646,false,max,107.000000,0.000052,na,0.004414,45,81,20,true
f7_l-d_kp_7_50.txt,Knapsack,6,Exact,2147483646,true,max,107.000000,0.000043,0.000027,0.004926,15,23,4,true
f8_l-d_kp_23_10000.txt,Knapsack,22,Exact,2147483646,false,max,9767.000000,0.007427,na,0.005000,10249,19613,1462,true
f9_l-d_kp_5_80.txt,Knapsack,4,Exact,2147483646,true,max,130.000000,0.000031,0.000013,0.008363,5,8,1,true
f8_l-d_kp_23_10000.txt,Knapsack,22,Exact,2147483646,true,max,9767.000000,0.007010,0.007595,0.002910,214,412,19,true
f9_l-d_kp_5_80.txt,Knapsack,4,Exact,2147483646,false,max,130.000000,0.000032,na,0.002050,16,30,8,true
f10_l-d_kp_20_879.txt,Knapsack,19,Exact,2147483646,false,max,1010.000000,0.004374,na,0.005899,6441,12781,852,true
f10_l-d_kp_20_879.txt,Knapsack,19,Exact,2147483646,true,max,1010.000000,0.004389,0.006040,0.002098,217,429,23,true
knapPI_1_100_1000_1.txt,Knapsack,100,Exact,2147483646,false,max,9147.000000,0.046408,na,0.016055,69024,97670,901,true
knapPI_1_100_1000_1.txt,Knapsack,100,Exact,2147483646,true,max,9147.000000,0.043766,0.045270,0.012025,29462,46417,607,true
knapPI_1_200_1000_1.txt,Knapsack,200,Exact,2147483646,false,max,11238.000000,0.105755,na,0.034233,165252,238701,969,true
knapPI_1_200_1000_1.txt,Knapsack,200,Exact,2147483646,true,max,11238.000000,0.108045,0.114036,0.036302,115018,175226,812,true
knapPI_1_500_1000_1.txt,Knapsack,500,Exact,2147483646,false,max,28857.000000,0.950177,na,0.249792,1211059,2170114,2536,true
knapPI_1_500_1000_1.txt,Knapsack,500,Exact,2147483646,true,max,28857.000000,0.894281,1.368243,0.264682,1157326,2088653,2501,true
