File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width,Sort
scheduler_n5_s025_seed1.txt,Scheduler,5,Exact,2147483646,True,min,394,0.0006,0.0001,3.9577484130859375e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Exact,2147483646,False,min,374,0.0006,na,9.584426879882812e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,500,True,min,394,0.0006,0.0001,4.00543212890625e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,1000,True,min,394,0.0006,0.0002,3.8623809814453125e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,2000,True,min,394,0.0006,0.0001,3.981590270996094e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,5000,True,min,394,0.0006,0.0002,4.00543212890625e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,10000,True,min,394,0.0006,0.0001,3.981590270996094e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,20000,True,min,394,0.0006,0.0002,3.981590270996094e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,500,False,min,374,0.0006,na,9.894371032714844e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,1000,False,min,374,0.0006,na,9.322166442871094e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,2000,False,min,374,0.0006,na,9.226799011230469e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,5000,False,min,374,0.0006,na,9.131431579589844e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,10000,False,min,374,0.0006,na,9.179115295410156e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,Restricted,20000,False,min,374,0.0006,na,9.250640869140625e-05,148,259,68,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,500,True,min,394,0.0006,0.0002,3.886222839355469e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,1000,True,min,394,0.0006,0.0001,3.7670135498046875e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,2000,True,min,394,0.0006,0.0002,3.886222839355469e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,5000,True,min,394,0.0006,0.0002,3.814697265625e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,10000,True,min,394,0.0006,0.0001,3.838539123535156e-05,32,80,10,True
scheduler_n5_s025_seed1.txt,Scheduler,5,RelaxPriority,20000,True,min,394,0.0006,0.0001,3.814697265625e-05,32,80,10,True
