File_name,Problem type,Variables number,DD Type,Max Width,Is Reduced,Objective Type,Optimization Value,Construction Time,Reduce Time,Solution Time,Number Node,Number Arcs,Actual Max Width
f1_l-d_kp_10_269,Knapsack,10,Exact,99999,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,500,false,max,295,0.00020,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,1000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,2000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,5000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,10000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Restricted,20000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,500,false,max,295,0.00022,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,1000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,2000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,5000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,10000,false,max,295,0.00021,na,na,726,926,196
f1_l-d_kp_10_269,Knapsack,10,Relaxed,20000,false,max,295,0.00021,na,na,726,926,196
f2_l-d_kp_20_878,Knapsack,20,Exact,99999,false,max,1024,0.00232,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,500,false,max,1024,0.00171,na,na,6467,11062,586
f2_l-d_kp_20_878,Knapsack,20,Restricted,1000,false,max,1024,0.00232,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,2000,false,max,1024,0.00233,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,5000,false,max,1024,0.00233,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,10000,false,max,1024,0.00233,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Restricted,20000,false,max,1024,0.00235,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,500,false,max,1024,0.00206,na,na,6493,11474,588
f2_l-d_kp_20_878,Knapsack,20,Relaxed,1000,false,max,1024,0.00232,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,2000,false,max,1024,0.00234,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,5000,false,max,1024,0.00232,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,10000,false,max,1024,0.00234,na,na,8435,14984,852
f2_l-d_kp_20_878,Knapsack,20,Relaxed,20000,false,max,1024,0.00232,na,na,8435,14984,852
f3_l-d_kp_4_20,Knapsack,4,Exact,99999,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,500,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,1000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,2000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,5000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,10000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Restricted,20000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,500,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,1000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,2000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,5000,false,max,35,0.00002,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,10000,false,max,35,0.00001,na,na,28,27,13
f3_l-d_kp_4_20,Knapsack,4,Relaxed,20000,false,max,35,0.00001,na,na,28,27,13
f4_l-d_kp_4_11,Knapsack,4,Exact,99999,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,500,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,1000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,2000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,5000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,10000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Restricted,20000,false,max,23,0.00002,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,500,false,max,23,0.00002,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,1000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,2000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,5000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,10000,false,max,23,0.00001,na,na,22,22,9
f4_l-d_kp_4_11,Knapsack,4,Relaxed,20000,false,max,23,0.00001,na,na,22,22,9
f6_l-d_kp_10_60,Knapsack,10,Exact,99999,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,500,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,1000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,2000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,5000,false,max,52,0.00011,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,10000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Restricted,20000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,500,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,1000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,2000,false,max,52,0.00010,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,5000,false,max,52,0.00011,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,10000,false,max,52,0.00011,na,na,277,415,60
f6_l-d_kp_10_60,Knapsack,10,Relaxed,20000,false,max,52,0.00010,na,na,277,415,60
f7_l-d_kp_7_50,Knapsack,7,Exact,99999,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,500,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,1000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,2000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,5000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,10000,false,max,107,0.00005,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Restricted,20000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,500,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,1000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,2000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,5000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,10000,false,max,107,0.00004,na,na,121,146,42
f7_l-d_kp_7_50,Knapsack,7,Relaxed,20000,false,max,107,0.00004,na,na,121,146,42
f8_l-d_kp_23_10000,Knapsack,23,Exact,99999,false,max,9767,0.00376,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,500,false,max,9767,0.00190,na,na,7639,12198,586
f8_l-d_kp_23_10000,Knapsack,23,Restricted,1000,false,max,9767,0.00288,na,na,11833,19445,1138
f8_l-d_kp_23_10000,Knapsack,23,Restricted,2000,false,max,9767,0.00373,na,na,13672,22667,1783
f8_l-d_kp_23_10000,Knapsack,23,Restricted,5000,false,max,9767,0.00383,na,na,13672,22667,1783
